Target,Linear Search Time,Binary Search Time,Hash Table Time,BST Time,Bloom Filter Time
Aaren,4.400033503770828e-06,9.400071576237679e-06,1.400010660290718e-06,4.699919372797012e-06,1.4899997040629387e-05
Aarika,2.00001522898674e-06,4.500150680541992e-06,6.00004568696022e-07,1.4600111171603203e-05,1.200009137392044e-05
Aaron,1.600012183189392e-06,3.400025889277458e-06,6.998889148235321e-07,2.09989957511425e-06,8.400063961744308e-06
Aartjan,1.500127837061882e-06,3.8000289350748062e-06,5.00120222568512e-07,1.6998965293169022e-06,8.499948307871819e-06
Abagael,1.700129359960556e-06,3.90014611184597e-06,4.00003045797348e-07,2.299901098012924e-06,8.400063961744308e-06
Abagail,1.700129359960556e-06,3.0999071896076202e-06,6.00004568696022e-07,2.09989957511425e-06,8.399831131100655e-06
Abahri,1.800013706088066e-06,3.600027412176132e-06,5.00120222568512e-07,1.400010660290718e-06,8.09994526207447e-06
Abbas,1.6998965293169022e-06,3.8000289350748062e-06,4.998873919248581e-07,1.90013088285923e-06,8.899951353669167e-06
Abbe,1.6998965293169022e-06,3.600027412176132e-06,4.00003045797348e-07,5.100155249238014e-06,7.800059393048286e-06
Abbey,2.499902620911598e-06,5.5998098105192184e-06,6.00004568696022e-07,2.800021320581436e-06,1.750001683831215e-05
